Period	Date observed	Latitude	Longitude	Environment	Urban	Rural	Suburban	Village_small_town	Surface cover under tree	grass_tree	undergrowth_tree	bare_soil_tree	litter_tree	artificial_tree	Surface cover in open	Grass_open	undergrowth_open	bare_soil_open	litter_open	artificial_open	surface_tree_cover	Distance to artificial light source (m)	0-5_light	5-10_light	10-20_light	20+light	Standing	Alone	Species	Approx distance to coast (km)	Dist. from thermometer under tree to edge of canopy (m)	Dist. from thermometer in open either to edge of the canopy of nearest tree or to nearest building (m)	Percentage canopy cover	Canopy index	T max open	T min open	T max canopy	T min canopy	T max open - T max canopy	T min open- T min canopy	Tmax_open-Tmin_open	Tmax_canopy-Tmin_canopy	D = (Tmax open - T min open) - (T max canopy - T min canopy)	Canopy_index_2	Ruralfactor	20+lightfactor
1	10/9/2016	51.299854	-2.231009	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	10-20	0	0	1	0	with others	0	Quercus robur	60	5	20	81-90	85	25.2	9.7	16.2	11.8	9	-2.1	15.5	4.4	11.1	7225	rural	n20+light
1	10/12/2016	55.101371	-2.9482573	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	30	1	20	81-90	85	16.1	-1.3	9.8	2.7	6.3	-4	17.4	7.1	10.3	7225	rural	20+light
1	10/15/2016	52.253569	-0.243041	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	73	8.5	10.9	61-70	65	18.4	7.8	14.8	9.4	3.6	-1.6	10.6	5.4	5.2	4225	rural	20+light
1	10/15/2016	53.4573913	-2.1495675	urban	1	0	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	5-10	0	1	0	0	with others	0	Quercus petraea	72	4	15	61-70	65	11	6	14	6	-3	0	5	8	-3	4225	nrural	n20+light
1	10/16/2016	51.319672	-2.83823	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	Quercus robur	10.5	2.5	35	81-90	85	16.8	8	13.8	9.6	3	-1.6	8.8	4.2	4.6	7225	rural	20+light
1	10/8/2016	50.18778	-5.12431	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus robur	6.4	3.5	69	41-50	45	19.4	7.6	15.9	10.2	3.5	-2.6	11.8	5.7	6.1	2025	rural	20+light
1	10/12/2016	51.483074	-1.807525	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus robur	80	3.5	12	51-60	55	14.6	4	15.4	7.8	-0.8	-3.8	10.6	7.6	3	3025	rural	20+light
1	10/4/2016	52.2169806	-0.8783806	suburban	0	0	1	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	10-20	0	0	1	0	with others	0	Quercus robur	101	5	6	91-100	95	25.4	10.7	18.5	10.7	6.9	0	14.7	7.8	6.9	9025	nrural	n20+light
1	10/17/2016	34.668804	32.841561	village or small town	0	0	0	1	bare soil	0	0	1	0	0	bare soil	0	0	1	0	0	bare soil_bare soil	10-20	0	0	1	0	with others	0	other plant	0.5	2	10	71-80	75	49.4	14.4	37.4	18.6	12	-4.2	35	18.8	16.2	5625	nrural	n20+light
1	10/9/2016	51.672774	0.055317	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	Quercus robur	52	3	8	91-100	95	19.6	4	19.4	5.6	0.2	-1.6	15.6	13.8	1.8	9025	rural	20+light
1	10/26/2016	50.1990434	-5.4825564	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	other oak	1	5	5	41-50	45	23.2	0	22.4	9.5	0.8	-9.5	23.2	12.9	10.3	2025	rural	20+light
1	10/30/2016	57.2510453	-2.3095329	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	15.4	6	12	71-80	75	12.4	3.6	12	4.6	0.4	-1	8.8	7.4	1.4	5625	rural	20+light
1	10/10/2016	53.3585946	-1.4990046	suburban	0	0	1	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	120	5	20	71-80	75	12	6	14.6	7	-2.6	-1	6	7.6	-1.6	5625	nrural	20+light
1	10/27/2016	52.34536	-2.250103	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	10-20	0	0	1	0	alone	1	Quercus robur	86	9.5	5.5	91-100	95	34.4	0	27.4	0	7	0	34.4	27.4	7	9025	rural	n20+light
1	10/12/2016	50.1109221	8.6821267	suburban	0	0	1	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	10-20	0	0	1	0	with others	0	Quercus robur	365	1.2	7	91-100	95	11.8	3.1	12	3.4	-0.2	-0.3	8.7	8.6	0.1	9025	nrural	n20+light
1	10/9/2016	40.519912	-74.190266	suburban	0	0	1	0	litter	0	0	0	1	0	undergrowth	0	1	0	0	0	litter_undergrowth	20+	0	0	0	1	with others	0	other oak	0.32	1	15	81-90	85	24.8	13.6	23.6	14.4	1.2	-0.8	11.2	9.2	2	7225	nrural	20+light
1	10/11/2016	51.493391	-2.760399	village or small town	0	0	0	1	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	0-5	1	0	0	0	with others	0	Quercus robur	0.17	6	3	71-80	75	26.4	7.6	13	7.8	13.4	-0.2	18.8	5.2	13.6	5625	nrural	n20+light
1	10/9/2016	55.057582	-7.948195	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus petraea	18	9.6	20.8	91-100	95	20.7	9.5	16.7	10.9	4	-1.4	11.2	5.8	5.4	9025	rural	20+light
1	10/30/2016	52.62662	1.2959021	urban	1	0	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	5-10	0	1	0	0	alone	1	Quercus petraea	20	3	7	71-80	75	19.8	8.9	19	8.9	0.8	0	10.9	10.1	0.8	5625	nrural	n20+light
1	11/3/2016	52.960367	-1.552214	rural	0	1	0	0	litter	0	0	0	1	0	litter	0	0	0	1	0	litter_litter	20+	0	0	0	1	with others	0	Quercus petraea	111	15	11	61-70	65	10	4.3	10.4	6.2	-0.4	-1.9	5.7	4.2	1.5	4225	rural	20+light
1	10/3/2016	51.8114769	-3.0330296	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	Quercus petraea	33	13	18	81-90	85	17.9	7.9	15.1	10.3	2.8	-2.4	10	4.8	5.2	7225	rural	20+light
